Name,Grid,Region,Related
Old Sailor Isle,n/a,Outside the Sea of Thieves, Maiden Voyage
Tribute Peak,Y-3,The Devil's Shroud, Shores of Gold (Quest)
Dead Man's Grotto,n/a,Sea of the Damned, A Pirate's Life
Sailor's Grave,n/a,Sea of the Damned, A Pirate's Life
Sunken Kingdom,C-19,n/a, The Sunken Pearl
Whispering Bayou,n/a,Sea of the Damned, Captains of the Damned
Fort of Lost Souls,n/a,Sea of the Damned, Captains of the Damned
Isla Tesoro,n/a,Sea of the Damned, Captains of the Damned
Tavern of the Damned,n/a,Sea of the Damned, Captains of the Damned
Coral Fortress,North of J-1,n/a, Dark Brethren
The Spire,n/a,n/a, Lords of the Sea
